company_id,type,rule_id,text,confidence_pct
ABB,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,94.47
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,83.97
ABB,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.66
ABB,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.69
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,87.98
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,81.3
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,81.0
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79.39
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.85
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,87.31
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,98.79
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.81
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.95
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.02
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,98.3
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,89.98
ADANIPORTS,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.58
ADANIPOWER,con,CON_FALLBACK,No major downside rule was triggered by the available financial data; continued monitoring is recommended,61.0
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,81.2
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,80.0
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.0
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.09
